City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
340,port saint john's,-31.6229,29.5448,20.7,74,1,4.73,ZA,1682270505
341,tongliao,43.6125,122.2653,3.48,17,3,3.51,CN,1682270586
342,levuka,50.1834,-105.4011,4.84,74,16,1.62,CA,1682270586
343,ketchikan,55.3422,-131.6461,8.26,87,100,2.06,US,1682270232
344,hammerfest,70.6634,23.6821,-0.75,74,75,4.63,NO,1682270316
345,papayal,-4.0761,-80.7361,24.26,85,100,2.55,PE,1682270588
346,jutai,-5.1833,-68.9,27.59,79,100,1.35,BR,1682270589
347,puyang chengguanzhen,35.7028,115.0053,7.75,93,100,3.9,CN,1682270590
348,palmer,42.1584,-72.3287,13.25,83,100,5.66,US,1682270590
349,peace river,56.2501,-117.286,6.17,81,100,4.12,CA,1682270591
350,san rafael del sur,11.8485,-86.4384,31.54,45,100,3.25,NI,1682270592
351,nar'yan-mar,67.6713,53.087,-6.83,87,63,6.05,RU,1682270329
352,waingapu,-9.6567,120.2641,25.73,86,42,5.23,ID,1682270355
353,jimma,7.6667,36.8333,18.14,84,97,1.65,ET,1682270594
354,coquimbo,-29.9533,-71.3436,18.85,68,75,3.6,CL,1682270301
355,talakan,50.3167,130.3667,0.62,71,95,3.22,RU,1682270595
356,andalgala,-27.5819,-66.3165,15.51,94,100,1.81,AR,1682270595
357,basco,20.4487,121.9702,24.76,75,6,6.78,PH,1682270596
358,broken hill,-31.95,141.4333,15.83,56,0,4.43,AU,1682270313
359,maitum,6.0392,124.4986,25.92,87,72,1.14,PH,1682270598
360,kegen,43.0197,79.2203,7.61,40,99,1.79,KZ,1682270599
